"year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2023,"080211","pm25_praries","pm25_naps",0.999970814499834,0.999970814499834,8719.6
2023,"080402","pm25_praries","pm25_naps",0.999980878247388,0.999980878247388,8517
2023,"080502","pm25_praries","pm25_naps",0.999948474373169,0.999948474373169,8612.4
2023,"081001","pm25_praries","pm25_naps",0.9999629439045,0.9999629439045,8720.6
2023,"082002","pm25_praries","pm25_naps",0.999994117798186,0.999994117798186,8475.2
2024,"070118","pm25_praries_lag_1","pm25_naps",1,0.478723404255319,7.6
2024,"080211","pm25_praries","pm25_naps",0.946457414634764,0.946457414634764,7.6
2024,"080402","pm25_praries","pm25_naps",0.96929485726749,0.96929485726749,7.6
2024,"080502","pm25_praries","pm25_naps",1,1,7.6
2024,"081001",NA,NA,NA,NA,7.6
2024,"082002","pm25_praries","pm25_naps",0.645497224367903,0.645497224367903,7.6
